iter	Passed	Remaining
0	1	105
1	1	96
2	2	92
3	3	85
4	4	85
5	5	84
6	6	82
7	7	80
8	8	81
9	9	81
10	9	80
11	10	78
12	11	77
13	12	77
14	13	76
15	14	75
16	15	74
17	16	73
18	16	72
19	17	70
20	18	69
21	19	68
22	20	67
23	21	66
24	21	65
25	22	64
26	23	63
27	24	62
28	24	61
29	25	60
30	26	59
31	27	58
32	28	57
33	29	56
34	30	55
35	31	55
36	32	54
37	32	53
38	33	52
39	34	51
40	35	51
41	35	49
42	36	48
43	37	47
44	38	47
45	39	46
46	40	45
47	41	44
48	42	43
49	42	42
50	43	42
51	44	41
52	45	40
53	46	39
54	47	38
55	47	37
56	49	36
57	49	36
58	50	35
59	51	34
60	52	33
61	53	32
62	53	31
63	54	30
64	55	29
65	56	28
66	57	28
67	57	27
68	58	26
69	59	25
70	60	24
71	61	23
72	62	22
73	62	22
74	63	21
75	64	20
76	65	19
77	66	18
78	66	17
79	67	16
80	68	16
81	69	15
82	70	14
83	71	13
84	71	12
85	72	11
86	73	10
87	74	10
88	75	9
89	75	8
90	76	7
91	77	6
92	78	5
93	79	5
94	79	4
95	80	3
96	81	2
97	82	1
98	82	0
99	83	0
